Date,BTC Open,BTC High,BTC Low,BTC Close,BTC Volume,ETH Price,XRP Price,LTC Price,Oil price,Gold Price,DJI Price
2019/7/15,10257.83887,11052.7666,9992.006836,10895.08984,25384047206,229.776001,0.30641318,89.43528431,59.58 ,1413.50 ,27359.16 
2019/7/16,10896.65332,10996.63281,9448.106445,9477.641602,24151199069,199.188675,0.309740953,90.89757367,57.62 ,1411.20 ,27335.63 
2019/7/17,9471.213867,9963.134766,9163.134766,9693.802734,24569921548,211.48497,0.297860397,80.00788651,56.78 ,1423.30 ,27219.85 
2019/7/18,9698.50293,10736.84277,9376.798828,10666.48242,25187024648,226.566162,0.310882732,89.78860119,55.30 ,1428.10 ,27222.97 
2019/7/19,10653.95606,10716.98047,10229.62891,10530.73242,20727426309,221.33342,0.322692326,101.2526725,55.63 ,1426.70 ,27154.20 
2019/7/20,10525.81934,11048.66211,10451.27637,10767.13965,20206615154,229.119217,0.320388963,98.37773578,55.83 ,1426.77 ,27160.10 
2019/7/21,10777.5293,10841.8877,10389.59961,10599.10547,17130580467,225.630768,0.334611734,100.6156046,56.02 ,1426.83 ,27166.00 
2019/7/22,10596.94824,10651.79102,10154.92188,10343.10645,16334414913,217.560013,0.330939092,99.9373504,56.22 ,1426.90 ,27171.90 
2019/7/23,10346.74805,10346.74805,9883.594727,9900.767578,17851916994,212.728516,0.322303962,95.23043716,56.77 ,1421.70 ,27349.19 
2019/7/24,9887.730469,9908.796875,9614.306641,9811.925781,17398734321,217.046371,0.31101459,90.85925439,55.88 ,1423.60 ,27269.97 
2019/7/25,9809.09668,10154.25391,9773.957031,9911.841797,15821952090,219.617996,0.312081839,94.67965451,56.02 ,1414.70 ,27140.98 
2019/7/26,9913.126953,9916.517578,9717.982422,9870.303711,14495714483,219.629608,0.312973727,93.28917513,56.20 ,1419.30 ,27192.45 
2019/7/27,9871.165039,10167.32031,9411.521484,9477.677734,16817809536,207.40831,0.322659081,94.32023034,56.42 ,1419.67 ,27202.08 
2019/7/28,9491.626953,9575.544922,9252.296875,9552.860352,13738687092,211.186554,0.309491457,88.38895614,56.65 ,1420.03 ,27211.72 
2019/7/29,9548.178711,9681.648438,9472.948242,9519.145508,13791445323,211.268051,0.311714801,90.09950922,56.87 ,1420.40 ,27221.35 
2019/7/30,9522.329102,9701.759766,9437.335938,9607.423828,13829811132,210.522598,0.310001536,90.14972348,58.05 ,1441.80 ,27198.02 
2019/7/31,9604.050781,10085.62793,9598.097656,10085.62793,16631520647,218.654144,0.317124588,90.16601055,58.58 ,1437.80 ,26864.27 
2019/8/1,10077.44238,10446.91992,9922.019531,10399.66895,17165337857,217.808441,0.319898064,98.92354698,53.95 ,1432.40 ,26583.42 
2019/8/2,10402.04297,10657.95313,10371.01367,10518.17481,17489094081,217.871567,0.31579156,98.65042053,55.66 ,1457.50 ,26485.01 
2019/8/3,10519.27832,10946.78125,10503.50488,10821.72656,15352685060,222.490341,0.312632741,94.85673657,55.34 ,1463.83 ,26229.25 
2019/8/4,10821.63281,11009.20703,10620.27832,10970.18457,16530894786,222.669724,0.315813209,94.01015443,55.01 ,1470.17 ,25973.50 
2019/8/5,10960.73535,11895.0918,10960.73535,11805.65332,23875988832,234.215027,0.31872971,92.95454565,54.69 ,1476.50 ,25717.74 
2019/8/6,11811.54492,12273.82129,11290.73145,11478.16895,23635107659,226.020645,0.321464413,96.09140933,53.63 ,1484.20 ,26029.52 
2019/8/7,11476.19336,12036.99023,11433.70117,11941.96875,22194988641,226.391006,0.313263716,93.47773965,51.09 ,1519.60 ,26007.07 
2019/8/8,11954.04004,11979.41992,11556.16797,11966.40723,19481591729,220.941864,0.312065528,90.80173095,52.54 ,1509.50 ,26378.19 
2019/8/9,11953.46973,11970.45801,11709.74512,11862.93652,18339989959,210.488907,0.309097744,90.44901913,54.50 ,1508.50 ,26287.44 
2019/8/10,11861.55664,11915.65527,11323.89844,11354.02441,18125355447,206.733536,0.296666103,84.31644037,54.64 ,1511.40 ,26160.75 
2019/8/11,11349.74023,11523.5791,11248.29492,11523.5791,15774371517,216.092865,0.298464646,85.50708286,54.79 ,1514.30 ,26034.06 
2019/8/12,11528.18945,11528.18945,11320.95117,11382.61621,13647198229,211.288071,0.303054503,90.04694604,54.93 ,1517.20 ,25907.37 
